Hello,id,name,description,serving_size,calories,carbs,protein,fat,sodium,createdAt,updatedAt
Hello,1,Quick Oats,Quaker,1/2 cup dry,150,27,5,3,0,8/29/2021 22:41,8/29/2021 22:41
Hello,2,Grits,Quaker Old Fashioned,1/4 cup,140,32,3,0.5,0,8/29/2021 22:41,8/29/2021 22:41
Hello,3,Brown Rice Crisp Cereal,Barbara's,1 1/3 cup,160,35,3,1,125,8/29/2021 22:41,8/29/2021 22:41
Hello,4,Whole Wheat Tortilla,Mission,1 tortilla,110,22,4,2,380,8/29/2021 22:41,8/29/2021 22:41
Hello,5,Wheat Sandwich Thin,Orowheat,1 bun,140,28,6,2,300,8/29/2021 22:41,8/29/2021 22:41
Hello,6,Cauliflower Rice,Birds Eye; About 3.5 servings per container,2/3 cup cooked,25,4,2,0,0,8/29/2021 22:41,8/29/2021 22:41
Hello,7,Long Grain Rice,Great Value,1/4 cup dry,160,36,3,0,0,8/29/2021 22:41,8/29/2021 22:41
Hello,8,Couscous,Rice Select,1/4 cup dry,200,41,7,0.5,0,8/29/2021 22:41,8/29/2021 22:41
Hello,9,Quinoa,White - Great Value,1/4 cup dry,170,29,6,2.5,0,8/29/2021 22:41,8/29/2021 22:41
Hello,10,Triscuits,Balsamic Vinegar and Basil,6 crackers (28 g),120,20,3,3.5,120,8/29/2021 22:41,8/29/2021 22:41
Hello,11,Apple,Medium,1 medium,95,25,0.5,0.3,2,8/29/2021 22:41,8/29/2021 22:41
Hello,12,Asparagus,medium,1 spear,3,0.6,0.4,0,0.3,8/29/2021 22:41,8/29/2021 22:41
Hello,13,Blueberries,Fresh Blueberries,1 cup,85,21,1.1,0.5,1,8/29/2021 22:41,8/29/2021 22:41
Hello,14,Banana,Medium,1 medium,105,27,1.3,0.4,1,8/29/2021 22:41,8/29/2021 22:41
Hello,15,Clementines,Cuties,2 clementines,90,22,1,0.5,0,8/29/2021 22:41,8/29/2021 22:41
Hello,16,Dried Cranberries,,1/4 cup (40 g),140,34,0,0,0,8/29/2021 22:41,8/29/2021 22:41
Hello,17,Carrot,Large,1 large (78g/2.75oz),30,7,1,0,60,8/29/2021 22:41,8/29/2021 22:41
Hello,18,Corn,1 can; No Salt Added; Great Value,1/2 cup,60,13,1,1,10,8/29/2021 22:41,8/29/2021 22:41
